Body Part,Exercise Type,Exercise Style 1,Exercise Style 2,Implementation Options ,Implementation Options 2
,Forward Ball Rollout,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,TRX  Kneeling Rollout,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,TRX Crunch,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Stir The Pot,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
Back,Bent-Over Row - Pronated Grip,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Bent-Over Row - Elbows Out,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Bent-Over Row - Supinated Grip,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Bent-Over Row - Neutral grip,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Bent-Over DB Row - Neutral,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Bent-Over DB Row - Supinating,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Bent-Over DB Row - Elbows Out,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Chin-up - Close Grip,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Chin-up - Mid Grip,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Chin-up - Wide Grip,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Chin-up - Neutral - Mid Grip,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Chin-up - Sternum - Neutral Grip,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Chin-up - Side to Side - Wide Neutral,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Front Lever,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Row - Torso Trainer,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Row - Machine,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,One Arm DB Row - Split Stance,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,One Arm DB Row - Feet Squared,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,One Arm DB Row - Ipsilateral Split Stance,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
