Body Part,Exercise Type,Exercise Style 1,Exercise Style 2,Implementation Options ,Implementation Options 2
,Seated Scapulae Retraction - One-Arm,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Seated Cable Row,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Seated Cable Row - One-Arm,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Seated Cable Row - Face Pull,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Seated Cable Row - Telle,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,T-Bar Row,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Trap 3 Raise - Standing,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
,Trap 3 Raise - Incline - Supported,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",
Biceps,Incline DB Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Incline DB Hammer Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Incline DB Supinating Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Incline DB Zottman Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Machine Biceps Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Prone Barbell Curl ,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Prone DB Hammer Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Prone DB Supinating Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Prone DB Zottman Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Prone EZ Bar Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Prone EZ Bar Reverse Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Scott Bench Barbell Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Scott Bench EZ Bar Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Scott EZ Bar Reverse-Grip Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Scott DB Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Scott 1-Arm DB Zottman Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Seated Machine Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Seated DB Biceps Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Seated Offset-Grip DB Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Seated DB Zottman Curls,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Seated DB Hammer Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Seated DB Concentration Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Standing Barbell Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Standing Barbell Spider Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Standing DB Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Standing Offset-Grip DB Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Standing DB Zottman Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Standing DB Midline Hammer Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Standing EZ Bar Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Standing EZ Bar Reverse-Grip Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Standing Cable Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Standing Cable EZ Bar Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Standing Cable EZ Bar Reverse-Grip Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Supine Cable Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
,Supine EZ Bar Reverse-Grip  Cable Curl,"30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Flat","Offset Grip
1.25 reps
Close Grip
Medium Grip
Wide Grip
One-Arm
Pronated Grip","EZ Bar
High Pulley
Mid Pulley
Barbell
Dumbbell
Thick Barbell
Thick Dumbbell
Triceps Bar
T-Grip Barbell
Rope",
Calves,Tibialis Anterior Flexion - Standing,"Uni-Lateral
Narrow Stance
Hip Width Stance
Wide Stance",,"Dumbbell
Kettlebell
Sandbag
Barbell
Safety Bar
Band
Low Pulley
Mid Pulley
High Pulley
Chains
Weighted Vest",
,Tibialis Anterior Flexion - Standing - Machine,"Uni-Lateral
Narrow Stance
Hip Width Stance
Wide Stance",,"Dumbbell
Kettlebell
Sandbag
Barbell
Safety Bar
Band
Low Pulley
Mid Pulley
High Pulley
Chains
Weighted Vest",
,Tibialis Anterior Flexion - Seated - Uni-lateral w/band,"Uni-Lateral
Narrow Stance
Hip Width Stance
Wide Stance",,"Dumbbell
Kettlebell
Sandbag
Barbell
Safety Bar
Band
Low Pulley
Mid Pulley
High Pulley
Chains
Weighted Vest",
,Tibialis Anterior Flexion - Donkey Calf ,"Uni-Lateral
Narrow Stance
Hip Width Stance
Wide Stance",,"Dumbbell
Kettlebell
Sandbag
Barbell
Safety Bar
Band
Low Pulley
Mid Pulley
High Pulley
Chains
Weighted Vest",
,Tibialis Anterior Flexion - Seated - Machine,"Uni-Lateral
Narrow Stance
Hip Width Stance
Wide Stance",,"Dumbbell
Kettlebell
Sandbag
Barbell
Safety Bar
Band
Low Pulley
Mid Pulley
High Pulley
Chains
Weighted Vest",
,Calf Press,"Uni-Lateral
Narrow Stance
Hip Width Stance
Wide Stance",,"Dumbbell
Kettlebell
Sandbag
Barbell
Safety Bar
Band
Low Pulley
Mid Pulley
High Pulley
Chains
Weighted Vest",
,Donkey Calf Raise,"Uni-Lateral
Narrow Stance
Hip Width Stance
Wide Stance",,"Dumbbell
Kettlebell
Sandbag
Barbell
Safety Bar
Band
Low Pulley
Mid Pulley
High Pulley
Chains
Weighted Vest",
,Donkey Calf Raise - Machine,"Uni-Lateral
Narrow Stance
Hip Width Stance
Wide Stance",,"Dumbbell
Kettlebell
Sandbag
Barbell
Safety Bar
Band
Low Pulley
Mid Pulley
High Pulley
Chains
Weighted Vest",
,Standing Calf Raise - Machine,"Uni-Lateral
Narrow Stance
Hip Width Stance
Wide Stance",,"Dumbbell
Kettlebell
Sandbag
Barbell
Safety Bar
Band
Low Pulley
Mid Pulley
High Pulley
Chains
Weighted Vest",
,Standing Calf Raise - Unilateral,"Uni-Lateral
Narrow Stance
Hip Width Stance
Wide Stance",,"Dumbbell
Kettlebell
Sandbag
Barbell
Safety Bar
Band
Low Pulley
Mid Pulley
High Pulley
Chains
Weighted Vest",
,Seated Calf Raise - Machine,"Uni-Lateral
Narrow Stance
Hip Width Stance
Wide Stance",,"Dumbbell
Kettlebell
Sandbag
Barbell
Safety Bar
Band
Low Pulley
Mid Pulley
High Pulley
Chains
Weighted Vest",
,Seated Calf Raise - DB - Unilateral,"Uni-Lateral
Narrow Stance
Hip Width Stance
Wide Stance",,"Dumbbell
Kettlebell
Sandbag
Barbell
Safety Bar
Band
Low Pulley
Mid Pulley
High Pulley
Chains
Weighted Vest",
Forearms,Gripper Machine,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Spring Gripper,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Radial Flexion,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Ulnar Flexion,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Wrist Curl - Forearm bench - Barbell,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Wrist Curl - Forearm Bench- DB,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Wrist Curl - Flat Bench - Cable,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Wrist Curl - Standing - Behind the Back,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Wrist Extension - Forearm Bench - Barbell,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Wrist Extension - Forearm Bench - DB,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Wrist Extension - Incline Bench - One-Arm Cable,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Wrist Pronation - Hammer Rope - Cable,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Wrist Supination - Hammer Rope - Cable,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Wrist Supination - DB,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Wrist Roller,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Wrist Extension - Squatting Low Pulley,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
,Wrist Supination - Kneeling Low Pulley,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",
Hamstrings,TRX Leg Curl - Bilateral,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
,TRX Leg Curl - Alternating,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
,Swiss Ball Leg Curl,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
,Swiss Ball Leg Curl - 2 up 1 down,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
,Kneeling Leg Curl - Dorsiflexed,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
,Kneeling Leg Curl - Plantarflexed,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
,Kneeling Leg Curl - Poliquin,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
,Prone Leg Curl - Dorsiflexed,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
,Prone Leg Curl - Plantarflexed,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
,Prone Leg Curl - Poliquin,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
,Prone Leg Curl - 2 up 1 down,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
,Glute-Hamstrings Raise,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
