Body Part,Exercise Type,Exercise Style 1,Exercise Style 2,Implementation Options ,Implementation Options 2,Video Link
,Wrist Curl - Forearm Bench- DB,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",,https://youtu.be/4xuFvlYQCx0
,Wrist Curl - Flat Bench - Cable,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",,https://youtu.be/txFFtWBoNfk
,Wrist Curl - Standing - Behind the Back,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",,https://youtu.be/o5sPEDFGkhM
,Wrist Extension - Forearm Bench - Barbell,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",,https://youtu.be/qL3gicc7C1w
,Wrist Extension - Forearm Bench - DB,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",,https://youtu.be/TEWE284Kfio
,Wrist Extension - Incline Bench - One-Arm Cable,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",,https://youtu.be/57zun7SMNsw
,Wrist Pronation - Hammer Rope - Cable,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",,https://youtu.be/h7w9NB0WavQ
,Wrist Supination - Hammer Rope - Cable,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",,https://youtu.be/A8uNSW-viAc
,Wrist Supination - DB,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",,https://youtu.be/GG_2MYnmCwM
,Wrist Roller,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",,
,Wrist Extension - Squatting Low Pulley,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",,https://youtu.be/HhXDzUUBQlQ
,Wrist Supination - Kneeling Low Pulley,"One-Arm
Close Grip
Medium Grip
Wide Grip
Triceps Rope
Hammer Rope",,"Captains of Crush
Leverage Bar
Clubbell
Dumbbell
Barbell
Kettlebell
Fat Grip Barbell
Low Pulley
Mid Pulley
High Pulley
Zenith Gripper",,https://youtu.be/bMgxVk5bby0
Hamstrings,TRX Leg Curl - Bilateral,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,https://youtu.be/3LmIDgLsHmg
,TRX Leg Curl - Alternating,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,https://youtu.be/nKZR_bWAcJo
,Swiss Ball Leg Curl,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,https://youtu.be/FM80gwaMkeU
,Swiss Ball Leg Curl - 2 up 1 down,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,https://youtu.be/XHqHxlqU3N0
,Kneeling Leg Curl - Dorsiflexed,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,https://youtu.be/sKxxNOkrr44
,Kneeling Leg Curl - Plantarflexed,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,https://youtu.be/NC7m1_1U5w0
,Kneeling Leg Curl - Poliquin,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,https://youtu.be/9O4-MxNzDkA
,Prone Leg Curl - Dorsiflexed,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,https://youtu.be/3kWbnM3quDc
,Prone Leg Curl - Plantarflexed,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,https://youtu.be/xmWWvFmUtKU
,Prone Leg Curl - Poliquin,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,https://youtu.be/267gWQFb5HI
,Prone Leg Curl - 2 up 1 down,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,https://youtu.be/qV2T6YXeRe8
,Glute-Hamstrings Raise,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,https://youtu.be/VWbLyfj3i_k
,Nordic Eccentric Hamstrings Curl,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,https://youtu.be/hNINeB4zXkI
,Seated Leg Curl ,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,
,Standing Leg Curl,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",,
Neck,"Neck Extension, Prone","Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",,https://youtu.be/5TTLC-Bmafg
,"Neck Extension, Machine","Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",,https://youtu.be/S1XQTCTb8hY
,Neck Extension - Standing - Swiss Ball,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",,https://youtu.be/5u5WFLoIR24
,Neck Extension - Supine - Swiss Ball,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",,https://youtu.be/GDQz8x4McJI
,Neck Extension - Harness,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",,
,Neck Flexion - Supine,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",,https://youtu.be/ZSY6p9X2zGo
,Neck Flexion - Machine,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",,
,Neck Flexion - Standing - Swiss Ball,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",,
,Neck Flexion - Kneeling - Swiss Ball,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",,
,Neck Lateral Flexion - Swiss Ball,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",,https://youtu.be/vq_URF2BpxY
,Neck Lateral Flexion - Machine,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",,https://youtu.be/_slfSI6CR7E
,Neck Lateral Flexion - Harness,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",,
Pectorals,Incline Bench Press,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Neutral
Pronated
Semi Pronated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/gpiFIJefGKI
,Incline Bench Press - Close Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Neutral
Pronated
Semi Pronated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,
,Incline Bench Press - Mid Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Neutral
Pronated
Semi Pronated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/ddkCB2BlKXQ
,Incline Bench Press - Wide Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Neutral
Pronated
Semi Pronated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/D_Xg7Br-eq4
,Incline Bench Press - Neutral Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Neutral
Pronated
Semi Pronated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,
,Incline DB Bench Press - Neutral Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ",,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,
,Incline DB Bench Press - Pronated Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ",,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/kRQMiKMjRWQ
,Incline DB Bench Press - Rotating Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ",,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/SCMf6Iy8_eo
,Incline DB Bench Press - Semi-Pronated Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ",,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/SOajJvt4a9Q
,Incline DB Bench Press - Semi-Supinated Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ",,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/c1mZBZpIcVQ
,Bench Press,,"Neutral
Pronated
Semi-Pronated
Semi-Supinated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/QpiJjKxQkO0
,Bench Press - Close Grip,,"Neutral
Pronated
Semi-Pronated
Semi-Supinated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,
,Bench Press - Mid Grip,,"Neutral
Pronated
Semi-Pronated
Semi-Supinated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/Jd71xqb2n8s
,Bench Press - Wide Grip,,"Neutral
Pronated
Semi-Pronated
Semi-Supinated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/OSTvGLjZZzg
,Bench Press - Neutral Grip,,"Neutral
Pronated
Semi-Pronated
Semi-Supinated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/VJasFDt3ZZ8
,Bench Press to the Neck - Wide Grip,,,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/5sWxovUqKxo
,Bench Press to the Neck - Neutral Grip,,,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/5UXzh5Y_o_M
,Bench Press to the Neck - Mid Grip,,,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,
,DB Bench Press - Neutral Grip,,,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/1vAc-uj9jCc
,DB Bench Press - Pronated Grip,,,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/sPPYzew2xaU
,DB Bench Press - Rotating Grip,,,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/VKh286B5tQU
,DB Bench Press - Semi-Pronated Grip,,,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/iCdq8CJxsGk
,DB Bench Press - Semi-Supinated Grip,,,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/aN5xn9AZ5Eo
,Decline Bench Press,,"Neutral
Pronated
Semi-Pronated
Semi-Supinated
Rotating","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/aodA5LCz6cU
,Decline Bench Press - Mid Grip,,"Neutral
Pronated
Semi-Pronated
Semi-Supinated
Rotating","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/ZHJVwXVUNoc
,Decline Bench Press - Wide Grip,,"Neutral
Pronated
Semi-Pronated
Semi-Supinated
Rotating","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/RyBc_Mk-Qvg
,Decline Bench Press - Neutral Grip,,"Neutral
Pronated
Semi-Pronated
Semi-Supinated
Rotating","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/8J_qvGekyaw
,Decline DB Bench Press - Neutral Grip,,,,,https://youtu.be/l0VmqEFz1Bg
,Decline DB Bench Press - Pronated Grip,,,,,https://youtu.be/rHveW65KqTg
,Decline DB Bench Press - Rotating Grip,,,,,https://youtu.be/3eX1gtbiwts
,Decline DB Bench Press - Semi-Pronated Grip,,,,,https://youtu.be/jjJBW2sFrCw
,Decline DB Bench Press - Semi-Supinated Grip,,,,,https://youtu.be/VK8wo4IU1Nc
,Rack Bench Press - Close Grip,,"top 1/4 lockout
top 1/3 lockout
top 1/2 lockout","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,
,Rack Bench Press - Mid Grip,,"top 1/4 lockout
top 1/3 lockout
top 1/2 lockout","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/FdbDE60bJVk
,Rack Bench Press - Wide grip,,"top 1/4 lockout
top 1/3 lockout
top 1/2 lockout","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,
,Chest Dip,"Gironda            
Parallel Bar            
Roman Rings            
V Bar            ","Narrow
Medium
Wide","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/1U6i9CfgsbU
,Cable Chest Fly,"Flat
Incline
Decline
Standing
Kneeling","Neutral Grip
Pronated Grip
Semi-Pronated Grip
Semi-Supinated Grip
Rotating Grip","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,
,Supine Low Cable Chest Fly,,,,,https://youtu.be/PBLcP-bp0nw
,Standing Cable Crossover,,,,,https://youtu.be/BwUQigYKrtU
,DB Chest Fly,"Flat
10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       
Decline","Neutral Grip
Pronated Grip
Semi-Pronated Grip
Semi-Supinated Grip
Rotating Grip","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/-FRDe3qBqfw
,DB Chest Telle-Flyaway,,,,,https://youtu.be/m9C4hOax4jc
,Machine Chest Fly,"Neutral
Pronated",,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,
,Machine Chest Press,"Flat
10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       
Decline","Neutral Grip
Pronated Grip
Semi-Pronated Grip
Semi-Supinated Grip
Rotating Grip
Converging","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,
,Push-up,"Decline
clapping            
Feet on Ball            
Feet on Bench            
Roman Rings            
Rack
Bench","Hands Close
Hands Chest Width
Hands Wide","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",,https://youtu.be/uNfmsy0tEqM
,Push-ups on bars,,,,,https://youtu.be/gcbTWAPnG40
,Push-up - Eccentric,,,,,https://youtu.be/6dwvrdFgnNg
Posterior Chain/Glutes,"Back Extension, 45° Incline            ","Offset
Uni-Lateral",,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,
,"Back Extension, Horizontal",,,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,
,"Seated Back Extension, Machine",,,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,
,"Low Back Extension, Incline",,,,,https://youtu.be/p4iiAmt8qSA
,"Low Back Extension, Horizontal",,,,,https://youtu.be/qRCukjm0VvI
,"Low Back Extension, Machine, seated",,,,,https://youtu.be/26GejO6Z-vs
,Deadlift,"Clean Grip            
Snatch Grip","Podium
Rack Above Knee
Rack Below Knee
Blocks","Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,https://youtu.be/oX30bN4pfC0
,Deadlift - Dumbbell,,,,,https://youtu.be/v0FPERfP0HY
,Deadlift - Trap Bar,,,,,https://youtu.be/gHQAa8-JzPM
